2022-06-05 23:01:28,105 | itj_planning | INFO | planning.statistics.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxLeft', movement_id=None, no_fk=True, problem='CantiBoxLeft_process.json', problem_subdir='results')
2022-06-05 23:01:30,534 | itj_planning | INFO | # 148   A36_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-06-05 23:01:30,534 | itj_planning | INFO |                    71  TrajPts.
2022-06-05 23:01:30,534 | itj_planning | INFO | # 150   A36_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,534 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,534 | itj_planning | INFO | # 151   A36_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,534 | itj_planning | INFO |                    3   TrajPts.
2022-06-05 23:01:30,534 | itj_planning | INFO | # 154   A36_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-06-05 23:01:30,535 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,535 | itj_planning | INFO | # 156   A37_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,535 | itj_planning | INFO |                    245 TrajPts.
2022-06-05 23:01:30,535 | itj_planning | INFO | # 157   A37_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,535 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,535 | itj_planning | INFO | # 159   A37_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,535 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,535 | itj_planning | INFO | # 160   A38_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b4')
2022-06-05 23:01:30,535 | itj_planning | INFO |                    140 TrajPts.
2022-06-05 23:01:30,536 | itj_planning | INFO | # 162   A38_M2  L  Linear Advance to Storage Frame of Beam ('b4')
2022-06-05 23:01:30,536 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,536 | itj_planning | INFO | # 165   A38_M5  L  Linear Retract after picking up Beam ('b4')
2022-06-05 23:01:30,536 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,536 | itj_planning | INFO | # 166   A39_M0  F  Free Move to bring Beam ('b4') to approach clamps on structure.
2022-06-05 23:01:30,536 | itj_planning | INFO |                    242 TrajPts.
2022-06-05 23:01:30,537 | itj_planning | INFO | # 167   A39_M1  L  Linear Advance to bring Beam ('b4') into clamp jaws
2022-06-05 23:01:30,537 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,537 | itj_planning | INFO | # 169   A39_M3  L  Robot and Clamps (['c3', 'c1']) syncronously move to clamp Beam ('b4')
2022-06-05 23:01:30,537 | itj_planning | INFO |                    25  TrajPts.
2022-06-05 23:01:30,537 | itj_planning | INFO | # 172   A40_M2  L  Linear retract of Gripper from Beam ('b4')
2022-06-05 23:01:30,537 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,537 | itj_planning | INFO | # 175   A42_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,537 | itj_planning | INFO |                    255 TrajPts.
2022-06-05 23:01:30,538 | itj_planning | INFO | # 176   A42_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,538 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,538 | itj_planning | INFO | # 178   A42_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-05 23:01:30,538 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,538 | itj_planning | INFO | # 179   A43_M0  F  Free Move for Toolchanger to approach CL3 ('c2'), to get clamp from storage.
2022-06-05 23:01:30,538 | itj_planning | INFO |                    44  TrajPts.
2022-06-05 23:01:30,538 | itj_planning | INFO | # 180   A43_M1  L  Toolchanger Advance to dock with CL3 ('c2').
2022-06-05 23:01:30,538 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,539 | itj_planning | INFO | # 184   A43_M5  L  Linear Retract 1 from Storage Frame of CL3 ('c2').
2022-06-05 23:01:30,539 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,539 | itj_planning | INFO | # 185   A43_M6  L  Linear Retract 2 from Storage Frame of CL3 ('c2'). (Faster)
2022-06-05 23:01:30,539 | itj_planning | INFO |                    23  TrajPts.
2022-06-05 23:01:30,539 | itj_planning | INFO | # 186   A44_M0  F  Free Move to bring CL3 ('c2') to structure.
2022-06-05 23:01:30,539 | itj_planning | INFO |                    95  TrajPts.
2022-06-05 23:01:30,539 | itj_planning | INFO | # 188   A44_M2  L  Linear Approach 1 of 2 to attach CL3 ('c2') to structure.
2022-06-05 23:01:30,539 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,539 | itj_planning | INFO | # 189   A44_M3  L  Linear Approach 2 of 2 to attach CL3 ('c2') to structure.
2022-06-05 23:01:30,540 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,540 | itj_planning | INFO | # 192   A44_M6  L  Linear Retract after attaching CL3 ('c2') on structure
2022-06-05 23:01:30,540 | itj_planning | INFO |                    7   TrajPts.
2022-06-05 23:01:30,540 | itj_planning | INFO | # 194   A45_M0  F  Free Move for Toolchanger to approach CL3M ('c4'), to get clamp from storage.
2022-06-05 23:01:30,540 | itj_planning | INFO |                    93  TrajPts.
2022-06-05 23:01:30,540 | itj_planning | INFO | # 195   A45_M1  L  Toolchanger Advance to dock with CL3M ('c4').
2022-06-05 23:01:30,540 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,540 | itj_planning | INFO | # 199   A45_M5  L  Linear Retract 1 from Storage Frame of CL3M ('c4').
2022-06-05 23:01:30,541 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,541 | itj_planning | INFO | # 200   A45_M6  L  Linear Retract 2 from Storage Frame of CL3M ('c4'). (Faster)
2022-06-05 23:01:30,541 | itj_planning | INFO |                    22  TrajPts.
2022-06-05 23:01:30,541 | itj_planning | INFO | # 201   A46_M0  F  Free Move to bring CL3M ('c4') to structure.
2022-06-05 23:01:30,541 | itj_planning | INFO |                    179 TrajPts.
2022-06-05 23:01:30,541 | itj_planning | INFO | # 203   A46_M2  L  Linear Approach 1 of 2 to attach CL3M ('c4') to structure.
2022-06-05 23:01:30,541 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,541 | itj_planning | INFO | # 204   A46_M3  L  Linear Approach 2 of 2 to attach CL3M ('c4') to structure.
2022-06-05 23:01:30,542 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,542 | itj_planning | INFO | # 207   A46_M6  L  Linear Retract after attaching CL3M ('c4') on structure
2022-06-05 23:01:30,542 | itj_planning | INFO |                    6   TrajPts.
2022-06-05 23:01:30,542 | itj_planning | INFO | # 209   A47_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,542 | itj_planning | INFO |                    105 TrajPts.
2022-06-05 23:01:30,543 | itj_planning | INFO | # 210   A47_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,543 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,543 | itj_planning | INFO | # 212   A47_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,543 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,544 | itj_planning | INFO | # 213   A48_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b9')
2022-06-05 23:01:30,544 | itj_planning | INFO |                    120 TrajPts.
2022-06-05 23:01:30,544 | itj_planning | INFO | # 215   A48_M2  L  Linear Advance to Storage Frame of Beam ('b9')
2022-06-05 23:01:30,544 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,544 | itj_planning | INFO | # 218   A48_M5  L  Linear Retract after picking up Beam ('b9')
2022-06-05 23:01:30,544 | itj_planning | INFO |                    19  TrajPts.
2022-06-05 23:01:30,544 | itj_planning | INFO | # 219   A49_M0  F  Free Move to bring Beam ('b9') to approach clamps on structure.
2022-06-05 23:01:30,545 | itj_planning | INFO |                    106 TrajPts.
2022-06-05 23:01:30,545 | itj_planning | INFO | # 220   A49_M1  L  Linear Advance to bring Beam ('b9') into clamp jaws
2022-06-05 23:01:30,545 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,545 | itj_planning | INFO | # 222   A49_M3  L  Robot and Clamps (['c2', 'c4']) syncronously move to clamp Beam ('b9')
2022-06-05 23:01:30,545 | itj_planning | INFO |                    25  TrajPts.
2022-06-05 23:01:30,545 | itj_planning | INFO | # 225   A50_M2  L  Linear retract of Gripper from Beam ('b9')
2022-06-05 23:01:30,545 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,545 | itj_planning | INFO | # 228   A52_M1  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,546 | itj_planning | INFO |                    291 TrajPts.
2022-06-05 23:01:30,546 | itj_planning | INFO | # 229   A52_M2  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-06-05 23:01:30,546 | itj_planning | INFO |                    27  TrajPts.
2022-06-05 23:01:30,546 | itj_planning | INFO | # 231   A52_M4  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-06-05 23:01:30,546 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,546 | itj_planning | INFO | # 232   A53_M0  F  Free Move to reach CL3M ('c3') to detach it from structure.
2022-06-05 23:01:30,546 | itj_planning | INFO |                    242 TrajPts.
2022-06-05 23:01:30,546 | itj_planning | INFO | # 234   A53_M2  L  Linear Advance to dock toolchanger of CL3M ('c3').
2022-06-05 23:01:30,547 | itj_planning | INFO |                    7   TrajPts.
2022-06-05 23:01:30,547 | itj_planning | INFO | # 238   A53_M6  L  Linear Retract 1 of 2 to storage after picking up CL3M ('c3') from structure.
2022-06-05 23:01:30,547 | itj_planning | INFO |                    3   TrajPts.
2022-06-05 23:01:30,547 | itj_planning | INFO | # 239   A53_M7  L  Linear Retract 2 of 2 to storage after picking up CL3M ('c3') from structure.
2022-06-05 23:01:30,547 | itj_planning | INFO |                    12  TrajPts.
2022-06-05 23:01:30,547 | itj_planning | INFO | # 241   A54_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-06-05 23:01:30,547 | itj_planning | INFO |                    85  TrajPts.
2022-06-05 23:01:30,547 | itj_planning | INFO | # 243   A54_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,548 | itj_planning | INFO |                    13  TrajPts.
2022-06-05 23:01:30,548 | itj_planning | INFO | # 244   A54_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-06-05 23:01:30,548 | itj_planning | INFO |                    4   TrajPts.
2022-06-05 23:01:30,548 | itj_planning | INFO | # 247   A54_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-06-05 23:01:30,548 | itj_planning | INFO |                    8   TrajPts.
2022-06-05 23:01:30,548 | itj_planning | INFO | # 249   A55_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,548 | itj_planning | INFO |                    203 TrajPts.
2022-06-05 23:01:30,548 | itj_planning | INFO | # 250   A55_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-06-05 23:01:30,549 | itj_planning | INFO |                    5   TrajPts.
2022-06-05 23:01:30,549 | itj_planning | INFO | # 252   A55_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-06-05 23:01:30,549 | itj_planning | INFO |                    27  TrajPts.
