2022-05-27 17:14:24,978 | itj_planning | INFO | planning.statistics.py started with args: Namespace(debug=False, design_dir='220407_CantiBoxRight', movement_id=None, no_fk=True, problem='CantiBoxRight_process.json', problem_subdir='results')
2022-05-27 17:14:27,435 | itj_planning | INFO | #  36   A10_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,435 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,435 | itj_planning | INFO | #  38   A10_M3  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-05-27 17:14:27,435 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,436 | itj_planning | INFO | #  39   A11_M0  F  Free Move for Toolchanger to approach CL3M ('c3'), to get clamp from storage.
2022-05-27 17:14:27,436 | itj_planning | INFO |                    71  TrajPts.
2022-05-27 17:14:27,436 | itj_planning | INFO | #  40   A11_M1  L  Toolchanger Advance to dock with CL3M ('c3').
2022-05-27 17:14:27,436 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,436 | itj_planning | INFO | #  43   A11_M4  L  Linear Retract 1 from Storage Frame of CL3M ('c3').
2022-05-27 17:14:27,436 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,436 | itj_planning | INFO | #  44   A11_M5  L  Linear Retract 2 from Storage Frame of CL3M ('c3'). (Faster)
2022-05-27 17:14:27,436 | itj_planning | INFO |                    23  TrajPts.
2022-05-27 17:14:27,437 | itj_planning | INFO | #  45   A12_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-05-27 17:14:27,437 | itj_planning | INFO |                    52  TrajPts.
2022-05-27 17:14:27,437 | itj_planning | INFO | #  47   A12_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,437 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,437 | itj_planning | INFO | #  48   A12_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,437 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,437 | itj_planning | INFO | #  51   A12_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-05-27 17:14:27,437 | itj_planning | INFO |                    8   TrajPts.
2022-05-27 17:14:27,438 | itj_planning | INFO | #  53   A13_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,438 | itj_planning | INFO |                    81  TrajPts.
2022-05-27 17:14:27,438 | itj_planning | INFO | #  54   A13_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,438 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,438 | itj_planning | INFO | #  56   A13_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,438 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,438 | itj_planning | INFO | #  57   A14_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b2')
2022-05-27 17:14:27,439 | itj_planning | INFO |                    110 TrajPts.
2022-05-27 17:14:27,439 | itj_planning | INFO | #  59   A14_M2  L  Linear Advance to Storage Frame of Beam ('b2')
2022-05-27 17:14:27,439 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,439 | itj_planning | INFO | #  62   A14_M5  L  Linear Retract after picking up Beam ('b2')
2022-05-27 17:14:27,439 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,439 | itj_planning | INFO | #  63   A15_M0  F  Free Move to bring Beam ('b2') to approach clamps on structure.
2022-05-27 17:14:27,439 | itj_planning | INFO |                    80  TrajPts.
2022-05-27 17:14:27,440 | itj_planning | INFO | #  64   A15_M1  L  Linear Advance to bring Beam ('b2') into clamp jaws
2022-05-27 17:14:27,440 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,440 | itj_planning | INFO | #  66   A15_M3  L  Robot and Clamps (['c3']) syncronously move to clamp Beam ('b2')
2022-05-27 17:14:27,440 | itj_planning | INFO |                    25  TrajPts.
2022-05-27 17:14:27,440 | itj_planning | INFO | #  72   A19_M2  L  Linear retract of Gripper from Beam ('b2')
2022-05-27 17:14:27,440 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,440 | itj_planning | INFO | #  74   A21_M0  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,440 | itj_planning | INFO |                    106 TrajPts.
2022-05-27 17:14:27,441 | itj_planning | INFO | #  75   A21_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,441 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,441 | itj_planning | INFO | #  77   A21_M3  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-05-27 17:14:27,441 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,441 | itj_planning | INFO | #  78   A22_M0  F  Free Move for Toolchanger to approach CL3 ('c1'), to get clamp from storage.
2022-05-27 17:14:27,441 | itj_planning | INFO |                    45  TrajPts.
2022-05-27 17:14:27,441 | itj_planning | INFO | #  79   A22_M1  L  Toolchanger Advance to dock with CL3 ('c1').
2022-05-27 17:14:27,441 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,442 | itj_planning | INFO | #  82   A22_M4  L  Linear Retract 1 from Storage Frame of CL3 ('c1').
2022-05-27 17:14:27,442 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,442 | itj_planning | INFO | #  83   A22_M5  L  Linear Retract 2 from Storage Frame of CL3 ('c1'). (Faster)
2022-05-27 17:14:27,442 | itj_planning | INFO |                    22  TrajPts.
2022-05-27 17:14:27,442 | itj_planning | INFO | #  84   A23_M0  F  Free Move to bring CL3 ('c1') to structure.
2022-05-27 17:14:27,442 | itj_planning | INFO |                    90  TrajPts.
2022-05-27 17:14:27,443 | itj_planning | INFO | #  86   A23_M2  L  Linear Approach 1 of 2 to attach CL3 ('c1') to structure.
2022-05-27 17:14:27,443 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,443 | itj_planning | INFO | #  87   A23_M3  L  Linear Approach 2 of 2 to attach CL3 ('c1') to structure.
2022-05-27 17:14:27,443 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,443 | itj_planning | INFO | #  90   A23_M6  L  Linear Retract after attaching CL3 ('c1') on structure
2022-05-27 17:14:27,443 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,443 | itj_planning | INFO | #  92   A24_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,444 | itj_planning | INFO |                    107 TrajPts.
2022-05-27 17:14:27,444 | itj_planning | INFO | #  93   A24_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,444 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,444 | itj_planning | INFO | #  95   A24_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,444 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,444 | itj_planning | INFO | #  96   A25_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b3')
2022-05-27 17:14:27,445 | itj_planning | INFO |                    119 TrajPts.
2022-05-27 17:14:27,445 | itj_planning | INFO | #  98   A25_M2  L  Linear Advance to Storage Frame of Beam ('b3')
2022-05-27 17:14:27,445 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,445 | itj_planning | INFO | # 101   A25_M5  L  Linear Retract after picking up Beam ('b3')
2022-05-27 17:14:27,445 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,445 | itj_planning | INFO | # 102   A26_M0  F  Free Move to bring Beam ('b3') to approach clamps on structure.
2022-05-27 17:14:27,445 | itj_planning | INFO |                    157 TrajPts.
2022-05-27 17:14:27,446 | itj_planning | INFO | # 103   A26_M1  L  Linear Advance to bring Beam ('b3') into clamp jaws
2022-05-27 17:14:27,446 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,446 | itj_planning | INFO | # 105   A26_M3  L  Robot and Clamps (['c1']) syncronously move to clamp Beam ('b3')
2022-05-27 17:14:27,446 | itj_planning | INFO |                    25  TrajPts.
2022-05-27 17:14:27,446 | itj_planning | INFO | # 111   A30_M2  L  Linear retract of Gripper from Beam ('b3')
2022-05-27 17:14:27,446 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,446 | itj_planning | INFO | # 113   A32_M0  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,446 | itj_planning | INFO |                    220 TrajPts.
2022-05-27 17:14:27,447 | itj_planning | INFO | # 114   A32_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,447 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,447 | itj_planning | INFO | # 116   A32_M3  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-05-27 17:14:27,447 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,447 | itj_planning | INFO | # 117   A33_M0  F  Free Move to reach CL3 ('c1') to detach it from structure.
2022-05-27 17:14:27,447 | itj_planning | INFO |                    74  TrajPts.
2022-05-27 17:14:27,447 | itj_planning | INFO | # 119   A33_M2  L  Linear Advance to dock toolchanger of CL3 ('c1').
2022-05-27 17:14:27,447 | itj_planning | INFO |                    8   TrajPts.
2022-05-27 17:14:27,448 | itj_planning | INFO | # 123   A33_M6  L  Linear Retract 1 of 2 to storage after picking up CL3 ('c1') from structure.
2022-05-27 17:14:27,448 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,448 | itj_planning | INFO | # 124   A33_M7  L  Linear Retract 2 of 2 to storage after picking up CL3 ('c1') from structure.
2022-05-27 17:14:27,448 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,448 | itj_planning | INFO | # 126   A34_M0  F  Free Move to bring CL3 ('c1') to structure.
2022-05-27 17:14:27,448 | itj_planning | INFO |                    169 TrajPts.
2022-05-27 17:14:27,448 | itj_planning | INFO | # 128   A34_M2  L  Linear Approach 1 of 2 to attach CL3 ('c1') to structure.
2022-05-27 17:14:27,449 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,449 | itj_planning | INFO | # 129   A34_M3  L  Linear Approach 2 of 2 to attach CL3 ('c1') to structure.
2022-05-27 17:14:27,449 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,449 | itj_planning | INFO | # 132   A34_M6  L  Linear Retract after attaching CL3 ('c1') on structure
2022-05-27 17:14:27,449 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,449 | itj_planning | INFO | # 134   A35_M0  F  Free Move to reach CL3M ('c3') to detach it from structure.
2022-05-27 17:14:27,449 | itj_planning | INFO |                    156 TrajPts.
2022-05-27 17:14:27,449 | itj_planning | INFO | # 136   A35_M2  L  Linear Advance to dock toolchanger of CL3M ('c3').
2022-05-27 17:14:27,450 | itj_planning | INFO |                    8   TrajPts.
2022-05-27 17:14:27,450 | itj_planning | INFO | # 140   A35_M6  L  Linear Retract 1 of 2 to storage after picking up CL3M ('c3') from structure.
2022-05-27 17:14:27,450 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,450 | itj_planning | INFO | # 141   A35_M7  L  Linear Retract 2 of 2 to storage after picking up CL3M ('c3') from structure.
2022-05-27 17:14:27,450 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,450 | itj_planning | INFO | # 143   A36_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-05-27 17:14:27,450 | itj_planning | INFO |                    91  TrajPts.
2022-05-27 17:14:27,450 | itj_planning | INFO | # 145   A36_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,451 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,451 | itj_planning | INFO | # 146   A36_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,451 | itj_planning | INFO |                    3   TrajPts.
2022-05-27 17:14:27,451 | itj_planning | INFO | # 149   A36_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-05-27 17:14:27,451 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,451 | itj_planning | INFO | # 151   A37_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,451 | itj_planning | INFO |                    126 TrajPts.
2022-05-27 17:14:27,452 | itj_planning | INFO | # 152   A37_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,452 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,452 | itj_planning | INFO | # 154   A37_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,452 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,452 | itj_planning | INFO | # 155   A38_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b4')
2022-05-27 17:14:27,452 | itj_planning | INFO |                    266 TrajPts.
2022-05-27 17:14:27,452 | itj_planning | INFO | # 157   A38_M2  L  Linear Advance to Storage Frame of Beam ('b4')
2022-05-27 17:14:27,453 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,453 | itj_planning | INFO | # 160   A38_M5  L  Linear Retract after picking up Beam ('b4')
2022-05-27 17:14:27,453 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,453 | itj_planning | INFO | # 161   A39_M0  F  Free Move to bring Beam ('b4') to approach clamps on structure.
2022-05-27 17:14:27,453 | itj_planning | INFO |                    147 TrajPts.
2022-05-27 17:14:27,453 | itj_planning | INFO | # 162   A39_M1  L  Linear Advance to bring Beam ('b4') into clamp jaws
2022-05-27 17:14:27,453 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,453 | itj_planning | INFO | # 164   A39_M3  L  Robot and Clamps (['c3', 'c1']) syncronously move to clamp Beam ('b4')
2022-05-27 17:14:27,454 | itj_planning | INFO |                    25  TrajPts.
2022-05-27 17:14:27,454 | itj_planning | INFO | # 167   A40_M2  L  Linear retract of Gripper from Beam ('b4')
2022-05-27 17:14:27,454 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,454 | itj_planning | INFO | # 169   A42_M0  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,454 | itj_planning | INFO |                    71  TrajPts.
2022-05-27 17:14:27,454 | itj_planning | INFO | # 170   A42_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,454 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,454 | itj_planning | INFO | # 172   A42_M3  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-05-27 17:14:27,455 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,455 | itj_planning | INFO | # 173   A43_M0  F  Free Move for Toolchanger to approach CL3 ('c2'), to get clamp from storage.
2022-05-27 17:14:27,455 | itj_planning | INFO |                    44  TrajPts.
2022-05-27 17:14:27,455 | itj_planning | INFO | # 174   A43_M1  L  Toolchanger Advance to dock with CL3 ('c2').
2022-05-27 17:14:27,456 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,456 | itj_planning | INFO | # 177   A43_M4  L  Linear Retract 1 from Storage Frame of CL3 ('c2').
2022-05-27 17:14:27,456 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,456 | itj_planning | INFO | # 178   A43_M5  L  Linear Retract 2 from Storage Frame of CL3 ('c2'). (Faster)
2022-05-27 17:14:27,456 | itj_planning | INFO |                    23  TrajPts.
2022-05-27 17:14:27,457 | itj_planning | INFO | # 179   A44_M0  F  Free Move to bring CL3 ('c2') to structure.
2022-05-27 17:14:27,457 | itj_planning | INFO |                    37  TrajPts.
2022-05-27 17:14:27,457 | itj_planning | INFO | # 181   A44_M2  L  Linear Approach 1 of 2 to attach CL3 ('c2') to structure.
2022-05-27 17:14:27,457 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,457 | itj_planning | INFO | # 182   A44_M3  L  Linear Approach 2 of 2 to attach CL3 ('c2') to structure.
2022-05-27 17:14:27,458 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,458 | itj_planning | INFO | # 185   A44_M6  L  Linear Retract after attaching CL3 ('c2') on structure
2022-05-27 17:14:27,458 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,458 | itj_planning | INFO | # 187   A45_M0  F  Free Move for Toolchanger to approach CL3M ('c4'), to get clamp from storage.
2022-05-27 17:14:27,458 | itj_planning | INFO |                    40  TrajPts.
2022-05-27 17:14:27,458 | itj_planning | INFO | # 188   A45_M1  L  Toolchanger Advance to dock with CL3M ('c4').
2022-05-27 17:14:27,459 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,459 | itj_planning | INFO | # 191   A45_M4  L  Linear Retract 1 from Storage Frame of CL3M ('c4').
2022-05-27 17:14:27,459 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,459 | itj_planning | INFO | # 192   A45_M5  L  Linear Retract 2 from Storage Frame of CL3M ('c4'). (Faster)
2022-05-27 17:14:27,459 | itj_planning | INFO |                    22  TrajPts.
2022-05-27 17:14:27,460 | itj_planning | INFO | # 193   A46_M0  F  Free Move to bring CL3M ('c4') to structure.
2022-05-27 17:14:27,460 | itj_planning | INFO |                    90  TrajPts.
2022-05-27 17:14:27,460 | itj_planning | INFO | # 195   A46_M2  L  Linear Approach 1 of 2 to attach CL3M ('c4') to structure.
2022-05-27 17:14:27,460 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,460 | itj_planning | INFO | # 196   A46_M3  L  Linear Approach 2 of 2 to attach CL3M ('c4') to structure.
2022-05-27 17:14:27,460 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,460 | itj_planning | INFO | # 199   A46_M6  L  Linear Retract after attaching CL3M ('c4') on structure
2022-05-27 17:14:27,461 | itj_planning | INFO |                    6   TrajPts.
2022-05-27 17:14:27,461 | itj_planning | INFO | # 201   A47_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,461 | itj_planning | INFO |                    155 TrajPts.
2022-05-27 17:14:27,461 | itj_planning | INFO | # 202   A47_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,461 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,461 | itj_planning | INFO | # 204   A47_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,461 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,462 | itj_planning | INFO | # 205   A48_M0  F  Free Move to reach Pickup Approach Frame of Beam ('b5')
2022-05-27 17:14:27,462 | itj_planning | INFO |                    119 TrajPts.
2022-05-27 17:14:27,462 | itj_planning | INFO | # 207   A48_M2  L  Linear Advance to Storage Frame of Beam ('b5')
2022-05-27 17:14:27,462 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,462 | itj_planning | INFO | # 210   A48_M5  L  Linear Retract after picking up Beam ('b5')
2022-05-27 17:14:27,462 | itj_planning | INFO |                    19  TrajPts.
2022-05-27 17:14:27,462 | itj_planning | INFO | # 211   A49_M0  F  Free Move to bring Beam ('b5') to approach clamps on structure.
2022-05-27 17:14:27,463 | itj_planning | INFO |                    115 TrajPts.
2022-05-27 17:14:27,463 | itj_planning | INFO | # 212   A49_M1  L  Linear Advance to bring Beam ('b5') into clamp jaws
2022-05-27 17:14:27,463 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,463 | itj_planning | INFO | # 214   A49_M3  L  Robot and Clamps (['c4', 'c2']) syncronously move to clamp Beam ('b5')
2022-05-27 17:14:27,463 | itj_planning | INFO |                    25  TrajPts.
2022-05-27 17:14:27,463 | itj_planning | INFO | # 217   A50_M2  L  Linear retract of Gripper from Beam ('b5')
2022-05-27 17:14:27,464 | itj_planning | INFO |                    12  TrajPts.
2022-05-27 17:14:27,464 | itj_planning | INFO | # 219   A52_M0  F  Free Move to reach Storage Approach Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,464 | itj_planning | INFO |                    124 TrajPts.
2022-05-27 17:14:27,464 | itj_planning | INFO | # 220   A52_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to place tool in storage.
2022-05-27 17:14:27,464 | itj_planning | INFO |                    27  TrajPts.
2022-05-27 17:14:27,464 | itj_planning | INFO | # 222   A52_M3  L  Linear Retract from storage after placing PG1500 ('g3') in storage
2022-05-27 17:14:27,465 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,465 | itj_planning | INFO | # 223   A53_M0  F  Free Move to reach CL3M ('c3') to detach it from structure.
2022-05-27 17:14:27,465 | itj_planning | INFO |                    247 TrajPts.
2022-05-27 17:14:27,465 | itj_planning | INFO | # 225   A53_M2  L  Linear Advance to dock toolchanger of CL3M ('c3').
2022-05-27 17:14:27,465 | itj_planning | INFO |                    8   TrajPts.
2022-05-27 17:14:27,466 | itj_planning | INFO | # 229   A53_M6  L  Linear Retract 1 of 2 to storage after picking up CL3M ('c3') from structure.
2022-05-27 17:14:27,466 | itj_planning | INFO |                    3   TrajPts.
2022-05-27 17:14:27,466 | itj_planning | INFO | # 230   A53_M7  L  Linear Retract 2 of 2 to storage after picking up CL3M ('c3') from structure.
2022-05-27 17:14:27,466 | itj_planning | INFO |                    11  TrajPts.
2022-05-27 17:14:27,466 | itj_planning | INFO | # 232   A54_M0  F  Free Move to bring CL3M ('c3') to structure.
2022-05-27 17:14:27,466 | itj_planning | INFO |                    146 TrajPts.
2022-05-27 17:14:27,467 | itj_planning | INFO | # 234   A54_M2  L  Linear Approach 1 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,467 | itj_planning | INFO |                    13  TrajPts.
2022-05-27 17:14:27,467 | itj_planning | INFO | # 235   A54_M3  L  Linear Approach 2 of 2 to attach CL3M ('c3') to structure.
2022-05-27 17:14:27,467 | itj_planning | INFO |                    4   TrajPts.
2022-05-27 17:14:27,467 | itj_planning | INFO | # 238   A54_M6  L  Linear Retract after attaching CL3M ('c3') on structure
2022-05-27 17:14:27,467 | itj_planning | INFO |                    7   TrajPts.
2022-05-27 17:14:27,468 | itj_planning | INFO | # 240   A55_M0  F  Free Move reach Storage Approach Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,468 | itj_planning | INFO |                    229 TrajPts.
2022-05-27 17:14:27,468 | itj_planning | INFO | # 241   A55_M1  L  Linear Advance to Storage Frame of PG1500 ('g3'), to get tool.
2022-05-27 17:14:27,468 | itj_planning | INFO |                    5   TrajPts.
2022-05-27 17:14:27,468 | itj_planning | INFO | # 243   A55_M3  L  Linear Retract after getting PG1500 ('g3') from storage.
2022-05-27 17:14:27,468 | itj_planning | INFO |                    27  TrajPts.
